file_name,z,ebv,j
spec-5884-56046-0166.fits,0.0440692,0.0271,114
spec-4092-55477-0424.fits,0.04407698,0.0751,115
spec-6168-56187-0700.fits,0.04408668,0.0575,116
spec-3692-55186-0810.fits,0.04424687,0.0284,117
spec-6440-56370-0194.fits,0.0445389,0.0213,118
spec-6412-56358-0306.fits,0.04477255,0.0153,119
spec-7088-56657-0390.fits,0.04496539,0.0047,120
spec-5341-55931-0319.fits,0.04500458,0.0269,121
spec-3587-55182-0133.fits,0.04502468,0.0198,122
spec-3736-55214-0228.fits,0.04526,0.0292,123
spec-3941-55321-0093.fits,0.04541644,0.0559,124
spec-4466-55857-0292.fits,0.04553378,0.0601,125
spec-4485-55836-0078.fits,0.0457955,0.0329,126
spec-4311-55506-0979.fits,0.04595648,0.028,127
spec-7136-56570-0900.fits,0.04606064,0.0732,128
spec-5415-55982-0085.fits,0.04626175,0.0264,129
spec-6716-56401-0946.fits,0.04646431,0.0141,130
spec-4466-55857-0256.fits,0.04650261,0.06,131
spec-5401-55949-0732.fits,0.04686625,0.0205,132
spec-6435-56341-0080.fits,0.04710987,0.0172,133
spec-4449-55544-0570.fits,0.04720807,0.0405,134
spec-5296-55922-0518.fits,0.04722746,0.0315,135
spec-5313-55973-0928.fits,0.04747754,0.0255,136
spec-4181-55685-0174.fits,0.04767701,0.0421,137
spec-4758-55682-0326.fits,0.04771425,0.0237,138
spec-4204-55470-0864.fits,0.04778466,0.0642,139
spec-5352-56269-0564.fits,0.04797366,0.0203,140
spec-4091-55498-0948.fits,0.04799967,0.0531,141
spec-4087-55449-0374.fits,0.04818266,0.0459,142
spec-3657-55244-0896.fits,0.04832089,0.0495,143
spec-7106-56663-0328.fits,0.04838943,0.0382,144
spec-4760-55656-0840.fits,0.04862876,0.0354,145
spec-6441-56364-0062.fits,0.04867052,0.0158,146
spec-4081-55365-0316.fits,0.04869497,0.0797,147
spec-4608-55973-0814.fits,0.04895976,0.0227,148
spec-6393-56341-0997.fits,0.04907146,0.0242,149
spec-5808-56325-0400.fits,0.04915781,0.0159,150
spec-4641-55947-0844.fits,0.04927447,0.0138,151
spec-6002-56104-0035.fits,0.04942875,0.0115,152
spec-3676-55186-0966.fits,0.04959314,0.0333,153
spec-4202-55445-0230.fits,0.05012565,0.0597,154
spec-4861-55710-0114.fits,0.05015419,0.0279,155
spec-4840-55690-0712.fits,0.050245,0.027,156
spec-3735-55209-0346.fits,0.05024812,0.0301,157
spec-7108-56686-0354.fits,0.05029714,0.0074,158
spec-7563-56810-0156.fits,0.05050456,0.0081,159
spec-6316-56483-0712.fits,0.05085598,0.0219,160
spec-5324-55947-0906.fits,0.050867,0.0309,161
spec-6463-56340-0689.fits,0.05093681,0.0391,162
spec-5733-56575-0648.fits,0.05127234,0.0145,163
spec-3655-55240-0670.fits,0.05153647,0.0499,164
spec-6002-56104-0892.fits,0.051645,0.0092,165
spec-6790-56430-0424.fits,0.05168748,0.0137,166
spec-3655-55240-0660.fits,0.05171319,0.0498,167
spec-6022-56076-0784.fits,0.05179907,0.0205,168
spec-7092-56683-0052.fits,0.05185799,0.0085,169
spec-5161-55968-0686.fits,0.05198666,0.0265,170
spec-4775-55708-0150.fits,0.05205541,0.0404,171
spec-4564-55570-0896.fits,0.05226687,0.0137,172
spec-4077-55361-0718.fits,0.05248223,0.0736,173
spec-4567-55589-0308.fits,0.05271932,0.0155,174
spec-5158-55913-0404.fits,0.05276643,0.0201,175
spec-5429-55979-0766.fits,0.05283168,0.0206,176
spec-7445-56720-0362.fits,0.05291119,0.0288,177
spec-5893-56034-0560.fits,0.05291349,0.0329,178
spec-6369-56217-0092.fits,0.05322184,0.0224,179
spec-5442-55978-0806.fits,0.05323132,0.0233,180
spec-5411-55953-0190.fits,0.05347821,0.0254,181
spec-6829-56453-0718.fits,0.05349031,0.0089,182
spec-7049-56570-0233.fits,0.0535165,0.0223,183
spec-4611-55603-0358.fits,0.05376995,0.0262,184
spec-3693-55208-0414.fits,0.05383651,0.0522,185
spec-6320-56453-0758.fits,0.05404311,0.0203,186
spec-5467-55973-0634.fits,0.05414531,0.027,187
spec-6044-56090-0660.fits,0.05430289,0.0176,188
spec-7261-56603-0243.fits,0.05450252,0.1118,189
spec-7114-56748-0530.fits,0.05455225,0.0111,190
spec-5351-55952-0746.fits,0.05481334,0.0217,191
spec-4611-55603-0246.fits,0.05496664,0.0188,192
spec-5355-56009-0676.fits,0.05538331,0.0226,193
spec-4224-55481-0618.fits,0.05538607,0.0205,194
spec-4260-55478-0498.fits,0.05554928,0.0332,195
spec-7237-56662-0189.fits,0.05561775,0.0182,196
spec-5981-56340-0906.fits,0.05609978,0.0182,197
spec-6012-56101-0876.fits,0.05614341,0.0121,198
spec-5487-55982-0590.fits,0.05620474,0.0339,199
spec-4782-55654-0658.fits,0.05634722,0.0273,200
spec-5013-55723-0228.fits,0.0568211,0.0591,201
spec-6050-56089-0710.fits,0.05684878,0.0225,202
spec-6734-56386-0850.fits,0.05702616,0.022,203
spec-3763-55508-0882.fits,0.05713218,0.0361,204
spec-4602-55644-0496.fits,0.05714706,0.0296,205
spec-4202-55445-0937.fits,0.0578083,0.0584,206
spec-4201-55443-0033.fits,0.05793037,0.06,207
spec-5964-56098-0595.fits,0.05794508,0.0689,208
spec-4273-55506-0402.fits,0.05797973,0.0221,209
spec-6029-56099-0790.fits,0.05810532,0.0063,210
spec-3659-55181-0438.fits,0.05840966,0.0743,211
spec-4543-55888-0120.fits,0.0588012,0.0501,212
spec-4722-55735-0116.fits,0.05886682,0.0225,213
spec-6640-56385-0748.fits,0.05896328,0.0128,214
spec-4312-55511-0732.fits,0.05910982,0.0208,215
spec-4091-55498-0594.fits,0.05964174,0.0649,216
spec-4213-55449-0777.fits,0.05972142,0.0296,217
spec-4780-55682-0914.fits,0.06011368,0.0294,218
spec-4097-55506-0676.fits,0.06017893,0.0426,219
spec-4855-55926-0224.fits,0.06018381,0.0385,220
spec-4317-55480-0138.fits,0.06029107,0.0358,221
spec-6623-56367-0610.fits,0.06029772,0.0151,222
spec-5294-55922-0262.fits,0.06032817,0.075,223
spec-4091-55498-0310.fits,0.06044642,0.0619,224
spec-5994-56101-0186.fits,0.06052084,0.0125,225
spec-4627-55626-0922.fits,0.06065032,0.0182,226
spec-4091-55498-0273.fits,0.060785,0.0567,227
spec-5869-56064-0340.fits,0.06081757,0.0264,228
spec-4710-55707-0051.fits,0.06097087,0.0151,229
spec-7099-56666-0869.fits,0.06098275,0.0128,230
spec-5007-55710-0216.fits,0.06100734,0.0487,231
spec-6438-56367-0604.fits,0.06103244,0.0221,232
spec-4465-55858-0270.fits,0.06105689,0.0401,233
spec-6489-56329-0874.fits,0.06106179,0.0131,234
spec-6618-56401-0606.fits,0.06107528,0.0143,235
spec-5998-56087-0574.fits,0.06108111,0.0114,236
spec-5004-55711-0566.fits,0.06116928,0.0424,237
spec-5139-55866-0312.fits,0.06124644,0.0731,238
spec-6661-56366-0032.fits,0.06152615,0.0097,239
spec-6480-56340-0580.fits,0.06169641,0.0093,240
spec-5187-56074-0736.fits,0.06174942,0.0144,241
spec-4193-55476-0354.fits,0.06179523,0.0419,242
spec-4082-55367-0284.fits,0.06180238,0.0684,243
spec-4205-55454-0852.fits,0.06192943,0.0824,244
spec-4064-55366-0972.fits,0.06194841,0.0528,245
spec-6626-56330-0564.fits,0.06199233,0.0092,246
spec-6805-56442-0348.fits,0.06201192,0.0037,247
spec-5998-56087-0502.fits,0.06205834,0.0132,248
spec-6757-56416-0250.fits,0.06223741,0.011,249
spec-7132-56565-0686.fits,0.06230127,0.0631,250
spec-6838-56429-0356.fits,0.06255429,0.0108,251
spec-6002-56104-0354.fits,0.06263493,0.01,252
spec-6008-56093-0242.fits,0.06293113,0.0188,253
spec-5985-56089-0276.fits,0.06323182,0.0242,254
spec-7564-56804-0392.fits,0.06334123,0.0122,255
spec-6476-56358-0650.fits,0.06349007,0.0184,256
spec-7564-56804-0239.fits,0.06386483,0.009,257
spec-4440-55539-0874.fits,0.06387222,0.044,258
spec-5364-56000-0444.fits,0.06424329,0.0201,259
spec-6703-56636-0256.fits,0.06425152,0.0095,260
spec-4780-55682-0059.fits,0.06441187,0.0328,261
spec-6425-56298-0907.fits,0.06455263,0.0174,262
spec-4983-55836-0260.fits,0.06455954,0.0226,263
spec-4764-55646-0170.fits,0.0646547,0.0265,264
spec-6021-56067-0682.fits,0.06468273,0.0376,265
spec-6002-56104-0770.fits,0.06476929,0.012,266
spec-7099-56666-0910.fits,0.06481087,0.0124,267
spec-3679-55209-0552.fits,0.06487383,0.0478,268
spec-6297-56218-0939.fits,0.0649875,0.044,269
spec-7130-56568-0610.fits,0.06503794,0.053,270
spec-4496-55544-0998.fits,0.06513041,0.0304,271
spec-5440-55983-0947.fits,0.06518226,0.0222,272
spec-6278-56266-0146.fits,0.06518529,0.0409,273
spec-4081-55365-0184.fits,0.06525243,0.0613,274
spec-7140-56569-0428.fits,0.06541558,0.0731,275
spec-5302-55896-0198.fits,0.06554127,0.0314,276
spec-4359-55533-0376.fits,0.06567984,0.041,277
spec-5787-56254-0168.fits,0.06585979,0.025,278
spec-6641-56383-0834.fits,0.06590514,0.014,279
spec-6717-56397-0398.fits,0.06592031,0.0104,280
spec-4289-55856-0456.fits,0.0660583,0.0479,281
spec-5445-55987-0446.fits,0.0661791,0.03,282
spec-6709-56429-0295.fits,0.06624056,0.0127,283
spec-5870-56065-0802.fits,0.06629922,0.0188,284
spec-5036-55751-0698.fits,0.06639232,0.0464,285
spec-4453-55535-0266.fits,0.06652132,0.033,286
spec-7101-56659-0394.fits,0.0667561,0.0071,287
spec-6481-56363-0740.fits,0.06692271,0.0123,288
spec-6497-56329-0424.fits,0.06694183,0.019,289
spec-5042-55856-0792.fits,0.06703826,0.0427,290
spec-6645-56398-0027.fits,0.06704609,0.023,291
spec-6669-56413-0716.fits,0.06719704,0.0088,292
spec-5722-56008-0594.fits,0.06723439,0.0512,293
spec-4567-55589-0790.fits,0.06726974,0.0119,294
spec-5138-55830-0350.fits,0.06734695,0.0522,295
spec-6497-56329-0192.fits,0.06747408,0.0144,296
spec-4207-55475-0038.fits,0.06751706,0.0412,297
spec-6874-56550-0712.fits,0.06752711,0.0381,298
spec-5475-56011-0524.fits,0.06774797,0.0259,299
spec-4207-55475-0154.fits,0.06777531,0.046,300
spec-4372-55541-0109.fits,0.06784882,0.0327,301
spec-5396-55947-0725.fits,0.06816182,0.0201,302
spec-4350-55556-0268.fits,0.06826556,0.0183,303
spec-5407-55926-0844.fits,0.06836676,0.0179,304
spec-5416-56002-0330.fits,0.06844347,0.0282,305
spec-4445-55622-0998.fits,0.06848919,0.0325,306
spec-5396-55947-0648.fits,0.06856212,0.0192,307
spec-5358-56016-0858.fits,0.06857824,0.0164,308
spec-4533-55855-0446.fits,0.06871278,0.1032,309
spec-4539-55865-0175.fits,0.06879154,0.0242,310
spec-4210-55444-0576.fits,0.06899911,0.0336,311
spec-4227-55481-0652.fits,0.06904319,0.0284,312
spec-6415-56310-0132.fits,0.06923706,0.0185,313
spec-4604-55983-0738.fits,0.06926194,0.0246,314
spec-4970-56039-0976.fits,0.06930111,0.0182,315
spec-4019-55363-0090.fits,0.06937063,0.0492,316
spec-4833-55679-0042.fits,0.06937491,0.0157,317
spec-6706-56385-0164.fits,0.06937715,0.0119,318
spec-4500-55543-0754.fits,0.0694477,0.0242,319
spec-5384-55984-0034.fits,0.06951565,0.0206,320
spec-7041-56569-0830.fits,0.06964225,0.048,321
spec-6741-56394-0724.fits,0.06967735,0.0092,322
spec-4364-55855-0382.fits,0.06980938,0.0736,323
spec-4900-55739-0724.fits,0.06987477,0.0335,324
spec-7136-56570-0632.fits,0.07048788,0.0779,325
spec-4659-55587-0632.fits,0.0705002,0.058,326
spec-4855-55926-0702.fits,0.07059389,0.0352,327
spec-3700-55542-0930.fits,0.07072873,0.032,328
spec-5488-56013-0517.fits,0.07075743,0.0389,329
spec-6164-56181-0094.fits,0.07082003,0.0688,330
spec-5408-56038-0436.fits,0.0710088,0.0303,331
spec-7513-56780-0636.fits,0.07108403,0.0215,332
spec-4653-55622-0706.fits,0.07123931,0.0192,333
spec-7101-56659-0755.fits,0.07151255,0.0083,334
spec-5431-56011-0610.fits,0.07173289,0.0186,335
spec-5158-55913-0654.fits,0.07178303,0.0212,336
spec-5374-55947-0194.fits,0.07179507,0.0346,337
spec-6489-56329-0782.fits,0.07219284,0.0139,338
spec-6497-56329-0440.fits,0.07232281,0.0132,339
spec-5396-55947-0124.fits,0.07247134,0.0199,340
spec-6751-56368-0946.fits,0.07263055,0.0152,341
spec-5315-55978-0465.fits,0.07263646,0.0281,342
spec-5000-55715-0108.fits,0.07267762,0.0513,343
spec-4742-55660-0226.fits,0.07282503,0.0514,344
spec-4773-55648-0476.fits,0.07288924,0.0324,345
spec-4295-55858-0112.fits,0.07294504,0.0706,346
spec-4485-55836-0808.fits,0.07294767,0.0298,347
spec-7113-56711-0674.fits,0.07317912,0.0263,348
spec-6145-56266-0057.fits,0.07340718,0.0308,349
spec-6982-56444-0996.fits,0.0736082,0.0118,350
spec-4388-55536-0708.fits,0.07368501,0.0248,351
spec-3958-55329-0374.fits,0.07375789,0.0243,352
spec-6002-56104-0830.fits,0.07376839,0.0109,353
spec-4283-55864-0895.fits,0.07379029,0.0796,354
spec-4740-55651-0142.fits,0.07393067,0.0201,355
spec-7166-56602-0912.fits,0.07396518,0.0308,356
spec-5035-55829-0676.fits,0.0739732,0.0441,357
spec-6596-56331-0178.fits,0.07420277,0.0408,358
spec-5991-56076-0484.fits,0.07471886,0.0153,359
spec-6495-56339-0232.fits,0.07485224,0.0127,360
spec-4790-55888-0163.fits,0.07500485,0.0404,361
spec-5361-55973-0208.fits,0.0750147,0.0195,362
spec-6790-56430-0748.fits,0.07503875,0.0094,363
spec-4784-55677-0026.fits,0.07504829,0.023,364
spec-6530-56537-0856.fits,0.0750895,0.0631,365
spec-4290-55527-0680.fits,0.07509056,0.0641,366
spec-6028-56102-0206.fits,0.07551295,0.0094,367
spec-4295-55858-0898.fits,0.07557825,0.0751,368
spec-5493-56009-0564.fits,0.07558005,0.036,369
spec-4261-55503-0154.fits,0.07565559,0.0275,370
spec-4404-55513-0152.fits,0.07584144,0.0578,371
spec-6375-56323-0696.fits,0.07584672,0.0342,372
spec-6726-56394-0296.fits,0.07585577,0.0169,373
spec-4874-55673-0096.fits,0.07590482,0.0213,374
spec-7166-56602-0894.fits,0.07591164,0.0317,375
spec-4976-56046-0208.fits,0.07592235,0.0127,376
spec-4748-55631-0784.fits,0.07592656,0.0164,377
spec-4054-55358-0828.fits,0.07593083,0.0491,378
spec-5048-56218-0894.fits,0.07593848,0.075,379
spec-4055-55359-0094.fits,0.07615435,0.0907,380
spec-7167-56604-0896.fits,0.0761725,0.0315,381
spec-4655-55620-0930.fits,0.07629558,0.015,382
spec-4613-55591-0512.fits,0.07631706,0.0149,383
spec-5487-55982-0488.fits,0.07643817,0.0284,384
spec-4661-55614-0141.fits,0.07656235,0.0338,385
spec-4302-55531-0478.fits,0.07657599,0.0234,386
spec-4293-55509-0606.fits,0.07668269,0.0535,387
spec-6061-56076-0206.fits,0.07671826,0.0125,388
spec-6793-56430-0976.fits,0.0768447,0.0061,389
spec-6712-56421-0340.fits,0.07695735,0.0141,390
spec-5487-55982-0414.fits,0.07718668,0.0295,391
spec-6025-56098-0392.fits,0.07718904,0.0193,392
spec-5027-56218-0128.fits,0.07746421,0.0688,393
spec-6026-56071-0626.fits,0.07754289,0.0168,394
spec-7132-56565-0798.fits,0.07764068,0.0513,395
spec-4775-55708-0042.fits,0.07771634,0.0412,396
spec-6134-56244-0552.fits,0.07778838,0.0773,397
spec-4784-55677-0258.fits,0.07779206,0.0227,398
spec-4532-55559-0404.fits,0.07786646,0.0298,399
spec-4753-55674-0382.fits,0.07788251,0.0204,400
spec-4230-55483-0546.fits,0.07796554,0.0197,401
spec-7048-56575-0842.fits,0.07800166,0.0307,402
spec-4885-55735-0848.fits,0.07801426,0.0386,403
spec-4806-55688-0368.fits,0.07817909,0.0984,404
spec-5487-55982-0610.fits,0.07841455,0.0297,405
spec-6501-56563-0228.fits,0.07851546,0.0677,406
spec-5983-56310-0648.fits,0.07876857,0.0215,407
spec-5066-55749-0093.fits,0.07881004,0.0584,408
spec-4093-55475-0568.fits,0.07889161,0.0458,409
spec-5905-56065-0548.fits,0.07897405,0.0255,410
spec-5463-56003-0230.fits,0.079013,0.0271,411
spec-5958-56213-0618.fits,0.0790658,0.0745,412
spec-4304-55506-0546.fits,0.07917818,0.0228,413
spec-4870-55923-0794.fits,0.07923585,0.0422,414
spec-4230-55483-0608.fits,0.07925688,0.02,415
spec-6204-56220-0656.fits,0.07926987,0.0951,416
spec-4224-55481-0892.fits,0.07927392,0.0216,417
spec-6192-56269-0424.fits,0.07934521,0.077,418
spec-4045-55622-0262.fits,0.07943616,0.0251,419
spec-4293-55509-0912.fits,0.07966788,0.076,420
